Term Identifier	Term Name	Term textual definition	Spanish Translation	
Abnormality of the skeletal system			Anomalía del Sistema Esquelético	
Abnormality of head and neck	HP:0000242	Parietal bossing	Parietal bossing is a marked prominence in the parietal region.	Abombamiento parietal	
Abnormality of head and neck	HP:0011816	Parietal encephalocele	An encephalocele located between bregma and lambda.	Encefalocele parietal	
Abnormality of head and neck	HP:0002697	Parietal foramina	The presence of symmetrical and circular openings (foramina) in the parietal bone ranging in size from a few millimeters to several centimeters wide.	Forámenes parietales	
Abnormality of head and neck	HP:0011850	Parotitis	Inflammation of the parotid gland.	Parotiditis	
Abnormality of head and neck	HP:0010633	Partial anosmia	Inability to perceive certain odorants (implies that the sense of smell is maintained for other classes of odorants).	Anosmia parcial	
Abnormality of head and neck	HP:0010635	Partial hyposmia	Reduced ability to perceive certain odorants (implies that the sense of smell is maintained for other classes of odorants).	Hiposmia parcial	
Abnormality of head and neck	HP:0000447	Pear-shaped nose		Nariz en forma de pera	
Abnormality of head and neck	HP:0006342	Peg-shaped maxillary lateral incisors	Peg-shaped `upper lateral secondary incisor tooth` (FMA:55724).	Incisivos laterales superiores en forma de estaca	
Abnormality of head and neck	HP:0000700	Periapical radiolucency	Radiolucency (reflecting a reduction in the bony substance) around the apex (the tip of the dental root).	Radiolucencia periapical	
Abnormality of head and neck	HP:0000704	Periodontitis	`Inflammation` (MPATH:212) of the `periodontium` (FMA:56665).	Periodontitis	
Abnormality of head and neck	HP:0010802	Perioral hyperpigmentation	Increased pigmentation, either focal or generalized, of the skin surrounding the vermilion of the lips.	Hiperpigmentación perioral	
Abnormality of head and neck	HP:0100539	Periorbital edema	Edema affecting the region situated around the orbit of the eye.	Edema periorbitario	
Abnormality of head and neck	HP:0000629	Periorbital fullness	Increase in periorbital soft tissue.	Relleno periorbitario	
Abnormality of head and neck	HP:0001106	Periorbital hyperpigmentation	Increased pigmentation of the skin in the region surrounding the orbit of the eye.	Hiperpigmentación periorbitaria	
Abnormality of head and neck	HP:0000607	Periorbital wrinkles		Arrugas periorbitarias	
Abnormality of head and neck	HP:0006335	Persistence of primary teeth	Persistence of the primary teeth beyond the age by which they normally are shed and replaced by the permanent teeth.	Persistencia de los dientes primarios	
Abnormality of head and neck	HP:0004474	Persistent open anterior fontanelle	The anterior fontanelle generally ossifies by around the 18th month of life. A persistent open anterior fontanelle is diagnosed if closure is delayed beyond this age.	Persistencia de la fontanela anterior abierta	
Abnormality of head and neck	HP:0011855	Pharyngeal edema	Abnormal accumulation of fluid leading to swelling of the pharynx.	Edema faríngeo	
Abnormality of head and neck	HP:0011826	Philtrum with midline raphe	Narrow ridge in the midline of the philtral groove.	Filtro con un rafe en línea media	
Abnormality of head and neck	HP:0000201	Pierre-Robin sequence	Pierre Robin malformation is a sequence of developmental malformations characterized by `micrognathia (mandibular hypoplasia)` (HP:0000347), `glossoptosis` (HP:0000162) and `cleft palate` (HP:0000175).	Secuencia de Pierre-Robin	
Abnormality of head and neck	HP:0001357	Plagiocephaly	Asymmetric head shape, which is usually a combination of unilateral occipital flattening with ipsilateral frontal prominence, leading to rhomboid cranial shape.	Plagiocefalia	
Abnormality of head and neck	HP:0007434	Plaque-like facial hemangioma	Hemangioma is a benign tumor of the vascular endothelial cells. This term refers to facial hemangiomas that have a plaque-like morphology.	Hemangioma facial en forma de placa	
Abnormality of head and neck	HP:0002691	Platybasia	A developmental malformation of the occipital bone and upper end of the cervical spine, in which the latter appears to have pushed the floor of the occipital bone upward such that there is an  abnormal flattening of the skull base.	Platibasia	
Abnormality of head and neck	HP:0000307	Pointed chin	A marked tapering of the lower face to the chin.	Mentón afilado, barbilla puntiaguda	
Abnormality of head and neck	HP:0004544	Pointed frontal hairline		Inserción anterior del cabello en punta	
Abnormality of head and neck	HP:0004496	Posterior choanal atresia	Absence or abnormal closure of the posterior portion of the choana (the posterior nasal aperture).	Atresia posterior de coanas	
Abnormality of head and neck	HP:0007291	Posterior fossa cyst	A discrete posterior fossa cerebrospinal fluid (CSF) collection that does not communicate directly with the fourth ventricle.	Quiste de fosa posterior	
Abnormality of head and neck	HP:0000933	Posterior fossa cyst at the fourth ventricle		Quiste de fosa posterior en el cuarto ventrículo	
Abnormality of head and neck	HP:0006783	Posterior pharyngeal cleft		Hendidura de faringe posterior	
Abnormality of head and neck	HP:0011327	Posterior plagiocephaly	Asymmetry of the posterior part of the skull.	Plagiocefalia posterior	
Abnormality of head and neck	HP:0009087	Posteriorly placed tongue		Lengua de inserción posterior	
Abnormality of head and neck	HP:0010879	Postnatal cystic hygroma		Higroma quístico postnatal	
Abnormality of head and neck	HP:0005490	Postnatal macrocephaly	The postnatal development of an abnormally large skull (macrocephaly).	Macrocefalia postnatal	
Abnormality of head and neck	HP:0005484	Postnatal microcephaly	Microcephaly (HP:0000252) with onset in the postnatal period, that is, the head circumference is in the normal range at birth but falls behind normal values later in development.	Microcefalia postnatal	
Abnormality of head and neck	HP:0002009	Potter facies	A facial appearance characteristic of a fetus or neonate due to oligohydramnios experienced in the womb, comprising ocular hypertelorism, low-set ears, receding chin, and flattening of the nose.	Facies de Potter	
Abnormality of head and neck	HP:0008491	Premature anterior fontanel closure	Early closure (ossification) of the anterior fontanelle, which generally undergoes closure around the 18th month of life.	Cierre prematuro de la fontanela anterior 	
Abnormality of head and neck	HP:0005458	Premature closure of fontanelles	Normally, the posterior and lateral fontanelles are obliterated by about six months after birth, the anterior fontanelle closes by about the middle of the second year. This term refers to the situation in which the fontanelles close at an inappropriately early time point.	Cierre prematuro de las fontanelas	
Abnormality of head and neck	HP:0006337	Premature eruption of permanent teeth	`Premature` (PATO:0000694) `tooth eruption` (MeSH:D014078) of the `permanent dentition` (FMA:55654).	Erupción prematura de los dientes permanentes	
Abnormality of head and neck	HP:0006357	Premature loss of permanent teeth	`Premature` (PATO:0000694) loss of the permanent teeth.	Pérdida prematura de los dientes permanentes	
Abnormality of head and neck	HP:0006323	Premature loss of primary teeth	Loss of the primary (also known as deciduous) teeth before the usual age.	Pérdida prematura de los dientes de leche 	
Abnormality of head and neck	HP:0006480	Premature loss of teeth	`Premature` (PATO:0000694) loss of teeth not related to trauma or neglect.	Pérdida prematura de los dientes	
Abnormality of head and neck	HP:0005494	Premature posterior fontanelle closure		Cierre prematuro de la fontanela posterior	
Abnormality of head and neck	HP:0010759	Premaxillary Prominence	Prominent aspect of the `premaxilla` (FMA:76869).	Prominencia premaxilar	
Abnormality of head and neck	HP:0010650	Premaxillary underdevelopment	Reduction in size of the `Premaxilla` (FMA:76869), which is the embryonic structure that forms the anterior part of the maxilla.	Subdesarrollo premaxilar	
Abnormality of head and neck	HP:0012806	Proboscis	A fleshy, tube-like structure usually located in the midline of the face or just to one side of the midline.	Probóscide- Nariz en forma de trompa	
Abnormality of head and neck	HP:0009092	Progressive alveolar ridge hypertropy		Hipertrofia progresiva de la cresta alveolar	
Abnormality of head and neck	HP:0009019	Progressive loss of facial adipose tissue		Pérdida progresiva del tejido adiposo facial	
Abnormality of head and neck	HP:0004481	Progressive macrocephaly	The progressive development of an abnormally large skull.	Macrocefalia progresiva	
Abnormality of head and neck	HP:0000253	Progressive microcephaly	Progressive microcephaly is diagnosed when the head circumference falls progressively behind age- and gender-dependent norms.	Microcefalia progresiva	
Abnormality of head and neck	HP:0005477	Progressive sclerosis of skull base	Progressively increasing bone density of the skull base without significant changes in bony contour.	Esclerosis progresiva de la base del cráneo	
Abnormality of head and neck	HP:0009554	Projection of scalp hair onto lateral cheek	An tongue-like extension of hair towards the cheeks.	Proyección de pelo del cuero cabelludo en el lateral de la mejilla	
Abnormality of head and neck	HP:0007930	Prominent epicanthal folds		Pliegues epicánticos prominentes	
Abnormality of head and neck	HP:0011231	Prominent eyelashes	Eyelashes that draw the attention of the viewer due to increased density and/or length and/or curl without meeting the criteria of trichomegaly.	Pestañas prominentes	
Abnormality of head and neck	HP:0011220	Prominent forehead	Forward prominence of the entire forehead, due to protrusion of the frontal bone.	Frente prominente	
Abnormality of head and neck	HP:0005478	Prominent frontal sinuses		Senos frontales prominentes	
Abnormality of head and neck	HP:0002057	Prominent glabella	Forward protrusion of the `glabella` (FMA:52851).	Glabela prominente	
Abnormality of head and neck	HP:0002708	Prominent median palatal raphe	Unusual prominence of the median palatal raphe, which is the ridge formed by the fusion of the two plates of the skull that form the hard palate.	Rafe medio del paladar prominente	
Abnormality of head and neck	HP:0005487	Prominent metopic ridge	Vertical bony ridge positioned in the midline of the forehead.	Cresta metópica prominente	
Abnormality of head and neck	HP:0000426	Prominent nasal bridge	Anterior positioning of the nasal root in comparison to the usual positioning for age.	Puente nasal prominente	
Abnormality of head and neck	HP:0005322	Prominent nasal septum		Tabique nasal prominente	
Abnormality of head and neck	HP:0005274	Prominent nasal tip		Punta nasal prominente	
Abnormality of head and neck	HP:0005272	Prominent nasolabial fold	Exaggerated bulkiness of the crease or fold of skin running from the lateral margin of the nose, where nasal base meets the skin of the face, to a point just lateral to the corner of the mouth (cheilion, or commissure).	Pliegue nasolabial prominente	
Abnormality of head and neck	HP:0000448	Prominent nose	Distance between subnasale and pronasale more than two standard deviations above the mean, or alternatively, an apparently increased anterior protrusion of the nasal tip.	Nariz prominente	
